Langiewicz;ed_oyy_j2v_vy
Lassalle;pdrPo.001.004.000002711
Lawrence;ed_rr5_4hk_wy
Le Lubez;pdrPo.001.004.000002770
Le Merchant;
Ledru;pdrPo.001.004.000002754
Leno;pdrPo.001.004.000002774
Leppoc,H.J.;
Lessner;ed_l54_cks_xy
Leßner;ed_l54_cks_xy
Leßners;ed_l54_cks_xy
Liebig;
Liebknecht;pdrPo.001.004.000002822
Liebknecht,E.;pdrPo.001.004.000002819
Lieknecht;
Lippe;pdrPo.001.004.000002846
Longuet;pdrPo.001.004.000002885
Lormier,Eleonore;
Lormiers;
Louis Philippe;
Louis-Philippe Ier;pdrPo.001.004.000002907
Lucraft;pdrPo.001.004.000002922
Luther;pdrPo.001.004.000011057
Lyell;pdrPo.001.004.000002945
Magendie;pdrPo.001.004.000002977
Manteuffel;pdrPo.001.004.000003008
Marx,E.;pdrPo.001.004.000003068
Marx,J.Frau;pdrPo.001.004.000003075
Marx,J.Tochter;pdrPo.001.004.000003074
Marx,L.;pdrPo.001.004.000003076
Matthew;
Mayne;pdrPo.001.004.000003111
Mazade;
Mazzini;pdrPo.001.004.000003114
Meißner;pdrPo.001.004.000003135
Melchior;
Mendelssohn;
Menke;pdrPo.001.004.000011173
Metz;
Metzner;pdrPo.001.004.000003176
Metzner/Mezner;pdrPo.001.004.000003176
Meyer, S.;
Meyer,S.;
Miall;
Miall, Edw.sen.1809;pdrPo.001.004.000003192
Miall,Edward;
Mills;pdrPo.001.004.000003216
Miquel;
Moilin;pdrPo.001.004.000003253
Moll;
Moll,F.;
Moore;pdrPo.001.004.000003296
Mozart;pdrPo.001.004.000003335
Mudie;ed_jnj_jy1_yy
Möser;pdrPo.001.004.000003245
Müller,Joh.Abr.;
M’Whinnie;
Napoléon I;pdrPo.001.004.000003391
Napoléon III;pdrPo.001.004.000003392
Neftel;pdrPo.001.004.000011237
Nothjung;pdrPo.001.004.000003476
Odger;pdrPo.001.004.000003494
Odger/Odgers;
Odysseus,Verw.Ulysses;pdrPo.001.004.000011294
Oppenheim;
Orsini,C.;ed_erg_rjw_wx
Orsini,F.;
Ortiga/Ortica;ed_rsv_nk3_yy
Owen;
O’Donovan Rossa, Mary;
Pasteur;pdrPo.001.004.000003625
Philips,L.;pdrPo.001.004.000003715
Pius IX;pdrPo.001.004.000003745
Platen;
Poscher;
Potter;
Proudhon;pdrPo.001.004.000003833
Quenstedt,Matthias;
Racowi;
Rebour;
Reimann;
Reinhardt;
Reuter;
Robin;
Robinson;
Rodbertus;
Rode;
Rogeard;
Rogers;
Rothschild;
Ruge;pdrPo.001.004.000004115
Russell;
Röckel;pdrPo.001.004.000004044
Rüdiger;
Sabala;
Sachs,Wilhelm;
Sargant;pdrPo.001.004.000004197
Sawyer;
Schapper;
Schiller;pdrPo.001.004.000004246
Schily;
Schmits,F.A.;
Schmits,Peter;
Schulze-Delitzsch;pdrPo.001.004.000004342
Schunks;
Schwitzguebel;
Schyler,jun.;
Schönbein;pdrPo.001.004.000004304
Schütte;pdrPo.001.004.000004335
Schütte,E. u. Co.;ed_qsm_1pt_cz
Scott,Walter;pdrPo.001.004.000004359
Seiffert;
Sidney, A.;
Slinski;
Smith,A.;
Snethlage,Ernst;pdrPo.001.004.000004500
Snethlage,Moritz;
Snider;
Sorge;pdrPo.001.004.000004523
Stanley,Lord;
Stephens;
Stieber;pdrPo.001.004.000004595
Stirner;pdrPo.001.004.000004600
Stumpf;pdrPo.001.004.000004646
Sturz;pdrPo.001.004.000004651
Thackeray;pdrPo.001.004.000004725
Thiers;
"Thorbecke; Thorbeck";
Toby;
Tolain;pdrPo.001.004.000004773
Traini;
Trost;
Trost & Co.;
Trémaux;
Twesten;
Tyndall;pdrPo.001.004.000004841
Tölcke;
Ulmer;
Ulmer,Frau;
Vandenhouten;pdrPo.001.004.000004883
Vergilius;pdrPo.001.004.000011701
Vincke;
Vittorio Emanuele II;pdrPo.001.004.000004955
Vogt, A.;pdrPo.001.004.000004960
Vogt,A.;pdrPo.001.004.000004960
Voltaire;pdrPo.001.004.000011719
Vésinier;pdrPo.001.004.000004915
Wallau;
Walpole;
Watts;pdrPo.001.004.000005027
Wehner;
Weiß,G.;pdrPo.001.004.000011735
Weston;pdrPo.001.004.000005083
Westphalen,Edgar;pdrPo.001.004.000005086
Weydemeyer;
Whithers;
Wickede;pdrPo.001.004.000005113
Wiefel;pdrPo.001.004.000005118
Wilhelm I;
Wilke;
Willem;
Willich;pdrPo.001.004.000005144
Wiswamitra;
Wolff, Luigi;pdrPo.001.004.000005182
Wolff,?;
Wolff,L.;
Wolff,lady;
Ziegler;pdrPo.001.004.000005256
[Pierre Vésinier;pdrPo.001.004.000004915
\zzInternationale Revue\;
;
"*geprüft in: I/20+21; III/9,11,12,13; Word-Dateien III/14; Namenreg. Gesamt I/7; Bagaturija-Liste; NDB; Wikipedia; PDR; Google";
